Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
Logistic_Regression,0.7331065759637188,0.7924769598742202,0.8310798946444249,0.8102292856150946,0.7410511012300924
Random_Forest,0.773819830962688,0.7886286233987384,0.9200614574187884,0.8483457259319328,0.7750972367762705
XGBoost,0.7799422799422799,0.7785511775152774,0.9525460930640914,0.8562384055444523,0.7388537624968139
