Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic_Regression,0.8211382113821138,0.8795180722891566,0.8588235294117647,0.8690476190476191,0.8727554179566563
Random_Forest,0.8373983739837398,0.891566265060241,0.8705882352941177,0.8809523809523809,0.8755417956656347
XGBoost,0.8536585365853658,0.845360824742268,0.9647058823529412,0.9010989010989011,0.8408668730650156
