Feature,Importance
Credit_History_0.0,0.21809300369632642
Credit_History_1.0,0.20780183569110006
Total_Income,0.07194151889454475
Loan_Amount_to_Total_Income,0.07138737249849147
Monthly_EMI,0.06733789958156022
ApplicantIncome,0.06503965051111406
EMI_to_Income_Ratio,0.06314268347515962
LoanAmount,0.05674537869704213
CoapplicantIncome,0.042933865093348136
Loan_Amount_Term,0.022568695148591528
Property_Area_Semiurban,0.021065696377889184
Married_No,0.009190393877428048
Property_Area_Rural,0.008658514989645512
Education_Graduate,0.008475310643367808
Married_Yes,0.00826958881460839
Property_Area_Urban,0.007376225444621412
Dependents_2,0.00696233782862709
Education_Not Graduate,0.006825237683894779
Dependents_0,0.006571367942508316
Dependents_1,0.00593775764855402
Gender_Female,0.005482885753779327
Self_Employed_No,0.005194222920985383
Dependents_3+,0.005014111520049941
Self_Employed_Yes,0.0046074685802486364
Gender_Male,0.0033769766865137454
